Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,After_School_Hours,School_Hours,Dress_Code,Count_High_School_Near,Count_Middle_School_Near,Count_Elementary_School_Near,Count_Pre_School_Near,Student_Count_Total,Crime_Count,School_Latitude,School_Longitude,Crime_Level,Description_0,Description_1,Description_2,Description_3,Description_4,Description_5,Description_6,Description_17,Description_7,Description_8,Description_9,Description_10,Description_11,Description_12,Description_13,Description_14,Description_15,Description_16
0,0,1,1,0,420,1.0,1,3,4,3,912,2308,41.964029,-87.723128,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,435,1.0,2,4,4,4,1339,2987,41.745781,-87.63541,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0,420,1.0,3,5,6,3,251,1786,41.733338,-87.568228,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0,420,0.0,3,6,5,1,550,2138,41.8743,-87.660985,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,0,420,1.0,2,6,6,4,462,2104,41.865351,-87.653445,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0,420,1.0,3,6,8,7,334,2065,41.840957,-87.705064,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1,0,420,1.0,1,4,5,5,216,4014,41.77162,-87.621746,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,0,420,1.0,1,4,4,4,308,1672,41.939247,-87.67581,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0,495,1.0,1,6,7,5,345,4042,41.891816,-87.746614,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,0,420,1.0,0,1,1,1,522,889,41.714402,-87.567131,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,90,420,1.0,0,6,6,6,302,1749,41.711184,-87.640414,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,480,0.0,4,7,7,4,155,3493,41.902925,-87.687889,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,180,420,1.0,1,3,4,3,339,2784,41.748274,-87.574816,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,435,1.0,1,5,5,2,885,1599,41.737174,-87.573268,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,90,420,1.0,4,6,6,5,232,1437,41.701952,-87.647652,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,1,0,420,1.0,1,1,1,1,756,1541,41.975754,-87.696556,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,480,1.0,3,3,4,2,654,1072,41.706667,-87.602573,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,450,1.0,3,4,4,1,576,949,41.809171,-87.730467,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
